country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn
Chad,TCD,Global South & Climate-Vulnerable Coalition,20299131,24118013870,2.8,51.3,False,True,False,0.1379369392709471,2.5272017802141384,1188.1303623293036,Chad,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20ACTUALISEE%20DU%20TCHAD.pdf,3.9374330777576843,7.46256748018897,1.2811817108804398,0.0,8.74374919106941,0.8534745584664072,3.3604989575302664
Comoros,COM,Global South & Climate-Vulnerable Coalition,866632,1682076951,0.6,7.5,False,True,False,0.6923353857231213,8.654192321539016,1940.9356578109278,Comoros,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/497418 ,0.37148077683905967,0.7504097898052182,0.0893788335251873,0.37148077683905967,1.2112694001694653,0.6195234435049961,0.23014105006324526
Cuba,CUB,Global South & Climate-Vulnerable Coalition,10979781,84154971449,24.4,1814.1,False,True,False,2.2222665461178144,165.2218746439478,7664.540071336578,Cuba,True,False,Yes,Partially costed,Mitigation only,2025.0,https://unfccc.int/sites/default/files/2025-02/REPUBLICA%20DE%20CUBA%20CND3.0.pdf,,0.41528902910817533,0.5891972495356264,1.8510149686136845,2.8555012472574863,0.1454347216647277,
Democratic Republic of Congo,COD,Global South & Climate-Vulnerable Coalition,109276264,91314988450,5.9,238.7,False,True,False,0.05399159693087604,2.18437189616951,835.6342457864408,"Congo, Democratic Republic",True,True,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revis%C3%A9e%20de%20la%20RDC.pdf,16.658750522533524,34.278098411967804,0.6995530288156686,0.0,34.977651440783475,0.98,16.325575512082853
Djibouti,DJI,Global South & Climate-Vulnerable Coalition,1168726,3395681646,0.6,21.1,False,True,False,0.5133795260822468,18.05384666722568,2905.455723582773,Djibouti,True,False,Yes,Fully costed,Both mitigation and adaptation,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20Djibouti_9%20-%20CPDN%20-%20Format%20pour%20soumission%20CCNUCC.pdf,0.9687846410603427,1.3330323698892117,3.1104088630748272,0.9687846410603427,5.412225874024382,0.24630021010154285,0.23861186063631018
Dominica,DMA,Global South & Climate-Vulnerable Coalition,66226,675098029,0.2,5.5,False,True,True,3.019961948479449,83.04895358318485,10193.851795367378,Dominica,True,False,Yes,Partially costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/2022-07/The%20Commonwealth%20of%20Dominica%20updated%20NDC%20July%204%20%2C.pdf,0.9843787042208949,0.0,0.0,1.0541263148204063,1.0541263148204063,0.0,0.0
Dominican Republic,DOM,Global South & Climate-Vulnerable Coalition,11427558,191182362267,33.1,869.2,False,True,True,2.896506847744724,76.06174477521795,16729.940225812024,Dominican Republic,True,False,Yes,Fully costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Dominican%20Republic%20First%20NDC%20%28Updated%20Submission%29.pdf,7.182857191143501,0.0,0.0,15.055579528169579,15.055579528169579,0.0,0.0
East Timor,TLS,Global South & Climate-Vulnerable Coalition,1400638,,0.7,12.1,False,True,False,0.49977224664759917,8.638920263479928,,Timor-Leste,True,True,No,No needs quantified,,2022.0,https://unfccc.int/sites/default/files/NDC/2022-11/Timor_Leste%20Updated%20NDC%202022_2030.pdf,,0.0,0.0,0.0,0.0,,
Eritrea,ERI,Global South & Climate-Vulnerable Coalition,3535610,,0.7,19.1,False,True,False,0.19798563755617843,5.402179539032868,,Eritrea,True,False,Yes,Fully costed,Both mitigation and adaptation,2018.0,https://unfccc.int/sites/default/files/NDC/2022-06/NRC%20Eritrea.pdf,5.415339379771825,6.238026186446415,2.7919151663343804,0.0,9.029941352780796,0.6908158029758851,3.741002022024005
Ethiopia,ETH,Global South & Climate-Vulnerable Coalition,132059770,269977225159,17.8,330.2,False,True,False,0.13478745268146386,2.500382970529178,2044.3563180444733,Ethiopia,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Ethiopia%20NDC%203.0%20Final.pdf ,38.01272577649201,0.0,0.0,101.06633465824815,101.06633465824815,0.0,0.0
Fiji,FJI,Global South & Climate-Vulnerable Coalition,928800,,1.4,54.1,False,True,False,1.5073212747631353,58.24720068906115,,Fiji,True,False,Yes,Fully costed,Mitigation only,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Republic%20of%20Fiji%27s%20Updated%20NDC%2020201.pdf,,1.8459630793080941,0.0,0.0,1.8459630793080941,1.0,
Gambia,GMB,Global South & Climate-Vulnerable Coalition,2759999,4656793663,0.8,17.7,False,True,False,0.28985517748375994,6.413045801828189,1687.244692117642,Gambia,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Second%20NDC%20of%20The%20Republic%20of%20The%20Gambia-16-12-2021.pdf,0.1526469317668283,0.17580316745880362,0.0,0.0,0.17580316745880362,1.0,0.1526469317668283
Grenada,GRD,Global South & Climate-Vulnerable Coalition,117218,,0.4,9.6,False,True,True,3.4124451875991744,81.89868450238018,,Grenada,True,False,Yes,Fully costed,Mitigation only,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/GrenadaSecondNDC2020%20-%2001-12-20.pdf,,0.0,0.0,0.7639595218132154,0.7639595218132154,0.0,
Guinea,GIN,Global South & Climate-Vulnerable Coalition,14754779,23678257190,4.0,105.9,False,True,False,0.27109860473003355,7.177335560227639,1604.7856216619714,Guinea,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20GUINEE%202021_REVISION_VF.pdf,0.7871402738310513,0.0,0.0,11.649676052699563,11.649676052699563,0.0,0.0
Guinea-Bissau,GNB,Global South & Climate-Vulnerable Coalition,2201360,3259313986,0.3,8.3,False,True,False,0.1362793909219755,3.770396482174656,1480.5910827851874,Guinea-Bissau,True,False,Yes,Fully costed,Mitigation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC-Guinea%20Bissau-12102021.Final.pdf,,0.40144153965383617,0.09517241492684528,0.0,0.49661395458068147,0.80835734870317,
Guyana,GUY,Global South & Climate-Vulnerable Coalition,831092,,4.5,117.3,False,True,False,5.414563008668114,141.1396090926155,,Guyana,True,False,Yes,Fully costed,Adaptation only,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/Guyana%27s%20revised%20NDC%20-%20Final.pdf,0.40625748415671215,0.40625748415671215,0.0,0.0,0.40625748415671215,1.0,0.40625748415671215
Haiti,HTI,Global South & Climate-Vulnerable Coalition,11772562,17550916862,3.0,88.8,False,True,False,0.25482983228289646,7.5429630355737345,1490.8324001181732,Haiti,True,False,Yes,Fully costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revisee%20Haiti%202022.pdf,11.369803955337412,12.42633071557737,2.757614759321449,0.0,15.183945474898819,0.818386152408136,9.30489011264339
Jamaica,JAM,Global South & Climate-Vulnerable Coalition,2839182,20019224153,8.4,485.2,False,True,False,2.9585986386219694,170.89429279278326,7051.053491111172,Jamaica,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-09/Jamaica%20ICTU%20Final%20Report%20Sep19.pdf,,0.0,0.0,0.0,0.0,,
Kiribati,KIR,Global South & Climate-Vulnerable Coalition,134521,,0.1,2.3,False,True,False,0.7433783572825061,17.09770221749764,,Kiribati,True,False,Yes,Partially costed,Mitigation only,2023.0,https://unfccc.int/sites/default/files/NDC/2023-03/221213%20Kiribati%20NDC%20Web%20Quality.pdf,,0.0,0.0,0.13394436363636367,0.13394436363636367,0.0,
Laos,LAO,Global South & Climate-Vulnerable Coalition,7769823,54953902901,24.4,243.0,False,True,False,3.1403546773201914,31.274843712656004,7072.735492301434,Lao People's Democratic Republic,True,True,Yes,Fully costed,Mitigation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%202020%20of%20Lao%20PDR%20%28English%29%2C%2009%20April%202021%20%281%29.pdf,,3.5676917160679915,0.0,0.0,3.5676917160679915,1.0,
Lesotho,LSO,Global South & Climate-Vulnerable Coalition,2337428,4761723180,2.6,72.3,False,True,False,1.1123337274987721,30.931434037754318,2037.163574664118,Lesotho,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-02/Lesotho%20SECOND%20NDC.pdf ,1.4254772166184506,0.0,0.0,2.375795361030751,2.375795361030751,0.0,0.0
Liberia,LBR,Global South & Climate-Vulnerable Coalition,5612813,4231561135,0.9,52.5,False,True,False,0.16034740512466744,9.353598632272266,753.9109418040473,Liberia,True,False,Yes,Partially costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Liberias_2035_NDC_3.0_Final.pdf ,0.018056044743833707,0.152431030363733,0.0,0.07507513340857175,0.22750616377230476,0.6700083542188805,0.01209770082251849
