country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn,scenario,finance_instrument_group,adaptation_need_annual_average_usd_bn,external_support_gap_proxy_annual_average_usd_bn
Brazil,BRA,Rest of World,211998565.0,3187412907763.0,483.0,18198.7,True,False,True,2.278317308421404,85.84350559165341,15035.068316443558,Brazil,True,False,Yes,Partially costed,Adaptation only,2024.0,https://unfccc.int/sites/default/files/2024-11/Brazil_Second%20Nationally%20Determined%20Contribution%20%28NDC%29_November2024.pdf,,0.0,0.0,11.336914285714286,11.336914285714286,0.0,,20-country selected coalition,Loan-eligible,,
Gabon,GAB,Rest of World,2538953.0,36035291983.0,5.4,307.1,False,False,True,2.1268609541019465,120.955370186057,14192.973238575114,Gabon,True,False,Yes,Partially costed,Mitigation only,2022.0,https://unfccc.int/sites/default/files/NDC/2022-07/20220706_Gabon_Updated%20NDC.pdf ,,0.0,0.0,1.002130289670841,1.002130289670841,0.0,,20-country selected coalition,Grant-priority,,
Kazakhstan,KAZ,Rest of World,20592574.0,503634062609.0,287.0,14937.4,False,False,True,13.937062943175537,725.3779930571088,24457.071884699795,Kazakhstan,True,False,Yes,Fully costed,Both mitigation and adaptation,2023.0,https://unfccc.int/sites/default/files/NDC/2023-06/12updated%20NDC%20KAZ_Gov%20Decree313_19042023_en_cover%20page.pdf,,121.469192963273,0.0,0.0,121.469192963273,1.0,,20-country selected coalition,Grant-priority,,
Malaysia,MYS,Rest of World,35557670.0,877584198429.0,290.2,7042.4,True,False,True,8.16138965235911,198.05572187378985,24680.587857106497,Malaysia,True,False,Yes,Fully costed,Adaptation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Malaysia%20NDC%20Updated%20Submission%20to%20UNFCCC%20July%202021%20final.pdf,,0.0,0.0,0.0,0.0,,,20-country selected coalition,Loan-eligible,,
Mexico,MEX,Rest of World,130861001.0,2033437602787.0,461.0,22015.9,False,False,True,3.5228218986342617,168.2388170024773,15538.912183523646,Mexico,True,False,Yes,Fully costed,Mitigation only,2022.0,https://unfccc.int/sites/default/files/NDC/2022-11/Mexico_NDC_UNFCCC_update2022_FINAL.pdf,,0.0,0.0,122.57345835384824,122.57345835384824,0.0,,20-country selected coalition,Grant-priority,,
Montenegro,MNE,Rest of World,638481.0,12774399882.0,2.4,122.1,False,False,True,3.758921565402886,191.23513463987183,20007.486333970784,Montenegro,True,False,Yes,Fully costed,Mitigation only,2025.0,https://unfccc.int/sites/default/files/2025-02/001_eng_NDC_Montenegro.pdf,,0.0,1.6357297188229278,0.0,1.6357297188229278,0.0,,20-country selected coalition,Grant-priority,,
Serbia,SRB,Rest of World,6736217.0,116834638171.0,42.0,2924.9,True,False,True,6.23495353549329,434.2051332372458,17344.250960294183,Serbia,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-09/NDC3%20of%20the%20Republic%20of%20Serbia.pdf,,0.0,0.0,0.0,0.0,,,20-country selected coalition,Loan-eligible,,
Thailand,THA,Rest of World,71668010.0,1124143758569.0,267.8,8308.3,False,False,True,3.73667414513114,115.92759447346172,15685.43285308187,Thailand,True,False,No,No needs quantified,,2022.0,https://unfccc.int/sites/default/files/NDC/2022-11/Thailand%202nd%20Updated%20NDC.pdf,,0.0,0.0,0.0,0.0,,,20-country selected coalition,Grant-priority,,
Ethiopia,ETH,Global South & Climate-Vulnerable Coalition,132059770.0,269977225159.0,17.8,330.2,False,True,False,0.1347874526814638,2.500382970529178,2044.3563180444733,Ethiopia,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Ethiopia%20NDC%203.0%20Final.pdf ,38.01272577649201,0.0,0.0,101.06633465824817,101.06633465824817,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,3.167727148041001,0.0
Democratic Republic of Congo,COD,Global South & Climate-Vulnerable Coalition,109276264.0,91314988450.0,5.9,238.7,False,True,False,0.053991596930876,2.18437189616951,835.6342457864408,"Congo, Democratic Republic",True,True,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revis%C3%A9e%20de%20la%20RDC.pdf,16.658750522533524,34.278098411967804,0.6995530288156686,0.0,34.977651440783475,0.98,16.325575512082853,74-country LDC+AOSIS coalition,Grant-priority,1.3882292102111269,1.3604646260069044
Bangladesh,BGD,Global South & Climate-Vulnerable Coalition,173562366.0,858143907016.0,108.3,2001.0,False,True,False,0.6239831969103256,11.528997017706017,4944.29712381312,Bangladesh,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Bangladesh%20Third%20Nationally%20Determined%20Contribution%20%28NDC%203.0%29.pdf,12.354135877359903,85.74720617032189,24.660755847499207,12.354135877359903,122.762097895181,0.6984827372658307,8.62915064417235,74-country LDC+AOSIS coalition,Grant-priority,1.0295113231133253,0.7190958870143626
Uganda,UGA,Global South & Climate-Vulnerable Coalition,50015091.0,101995416951.0,6.3,131.4,False,True,False,0.1259619821545461,2.6272070563662475,2039.2928396551356,Uganda,True,False,Yes,Fully costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/NDC/2022-09/Updated%20NDC%20_Uganda_2022%20Final.pdf,11.727298447908725,15.835165700848504,2.7164928608150154,0.0,18.55165856166352,0.8535714285714286,10.010086889464947,74-country LDC+AOSIS coalition,Grant-priority,0.9772748706590604,0.8341739074554123
Haiti,HTI,Global South & Climate-Vulnerable Coalition,11772562.0,17550916862.0,3.0,88.8,False,True,False,0.2548298322828964,7.5429630355737345,1490.8324001181732,Haiti,True,False,Yes,Fully costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revisee%20Haiti%202022.pdf,11.369803955337412,12.42633071557737,2.757614759321449,0.0,15.18394547489882,0.818386152408136,9.30489011264339,74-country LDC+AOSIS coalition,Grant-priority,0.9474836629447844,0.7754075093869491
Cambodia,KHM,Global South & Climate-Vulnerable Coalition,17638804.0,65136593996.0,21.9,251.6,False,True,False,1.2415807783793051,14.264005654805167,3692.8010536315273,Cambodia,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-08/Cambodia-NDC%203.0_0.pdf ,8.898776107923673,14.957637298733694,9.220587238155408,6.444033212444545,30.62225774933365,0.4884563842801296,4.346664002194802,74-country LDC+AOSIS coalition,Grant-priority,0.7415646756603061,0.3622220001829002
Madagascar,MDG,Global South & Climate-Vulnerable Coalition,31964960.0,38602188321.0,4.5,112.7,False,True,False,0.1407791531727241,3.525735680570224,1207.6407516543115,Madagascar,True,False,Yes,Fully costed,Both mitigation and adaptation,2024.0,https://unfccc.int/documents/636850,8.796982792227686,15.751181274748062,0.571286367477909,0.0,16.32246764222597,0.965,8.489088394499717,74-country LDC+AOSIS coalition,Grant-priority,0.7330818993523072,0.7074240328749765
