country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn,scenario,finance_instrument_group,adaptation_need_annual_average_usd_bn,external_support_gap_proxy_annual_average_usd_bn
Barbados,BRB,Global South & Climate-Vulnerable Coalition,282476.0,3408005977.0,1.4,63.9,False,True,False,4.956173267817443,226.213908438239,12064.762942692476,Barbados,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Barbados%20Second%20NDC.pdf,1.0358467774094076,0.0,0.0,3.307107142554805,3.307107142554805,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.0863205647841173,0.0
Dominica,DMA,Global South & Climate-Vulnerable Coalition,66226.0,675098029.0,0.2,5.5,False,True,True,3.019961948479449,83.04895358318485,10193.851795367378,Dominica,True,False,Yes,Partially costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/2022-07/The%20Commonwealth%20of%20Dominica%20updated%20NDC%20July%204%20%2C.pdf,0.9843787042208948,0.0,0.0,1.0541263148204063,1.0541263148204063,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.08203155868507457,0.0
Djibouti,DJI,Global South & Climate-Vulnerable Coalition,1168726.0,3395681646.0,0.6,21.1,False,True,False,0.5133795260822468,18.05384666722568,2905.455723582773,Djibouti,True,False,Yes,Fully costed,Both mitigation and adaptation,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20Djibouti_9%20-%20CPDN%20-%20Format%20pour%20soumission%20CCNUCC.pdf,0.9687846410603428,1.3330323698892117,3.1104088630748272,0.9687846410603428,5.412225874024382,0.2463002101015428,0.2386118606363101,74-country LDC+AOSIS coalition,Grant-priority,0.08073205342169523,0.019884321719692507
Belize,BLZ,Global South & Climate-Vulnerable Coalition,417077.0,,0.8,22.5,False,True,False,1.9181110442436289,53.94687311935206,,Belize,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-06/BELIZE%20FINAL%20NDC%203.0.pdf,0.8808498880557611,1.426427534762863,0.0,0.0,1.426427534762863,1.0,0.8808498880557611,74-country LDC+AOSIS coalition,Grant-priority,0.0734041573379801,0.0734041573379801
Cape Verde,CPV,Global South & Climate-Vulnerable Coalition,524878.0,4251154554.0,0.6,16.9,False,True,False,1.1431227828181023,32.197958382709885,8099.319373263882,Cabo Verde,True,True,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Cabo%20Verde_NDC%20Update%202021.pdf,0.846390468988516,0.0,0.0,1.692780937977032,1.692780937977032,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.07053253908237633,0.0
Guinea,GIN,Global South & Climate-Vulnerable Coalition,14754779.0,23678257190.0,4.0,105.9,False,True,False,0.2710986047300335,7.177335560227639,1604.7856216619714,Guinea,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20GUINEE%202021_REVISION_VF.pdf,0.7871402738310513,0.0,0.0,11.649676052699563,11.649676052699563,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.06559502281925428,0.0
South Sudan,SSD,Global South & Climate-Vulnerable Coalition,11943410.0,,1.7,45.5,False,True,False,0.1423379085202634,3.809632257454111,,South Sudan,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/South%20Sudan%27s%20Second%20Nationally%20Determined%20Contribution.pdf,0.538547063713863,59.19360406526856,4.520463585091942,7.844139061553275,71.55820671191378,0.82720916,0.445491064195211,74-country LDC+AOSIS coalition,Grant-priority,0.04487892197615525,0.03712425534960092
Guyana,GUY,Global South & Climate-Vulnerable Coalition,831092.0,,4.5,117.3,False,True,False,5.414563008668114,141.1396090926155,,Guyana,True,False,Yes,Fully costed,Adaptation only,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/Guyana%27s%20revised%20NDC%20-%20Final.pdf,0.4062574841567121,0.4062574841567121,0.0,0.0,0.4062574841567121,1.0,0.4062574841567121,74-country LDC+AOSIS coalition,Grant-priority,0.033854790346392674,0.033854790346392674
Sao Tome and Principe,STP,Global South & Climate-Vulnerable Coalition,235548.0,825238400.0,0.1,4.0,False,True,False,0.4245419192691086,16.981676770764345,3503.482941905684,Sao Tome and Principe,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/NDC3.0_Sao_Tome_Principe_F.pdf,0.3936692913227955,0.0,0.0,0.5732794206167204,0.5732794206167204,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.032805774276899624,0.0
Comoros,COM,Global South & Climate-Vulnerable Coalition,866632.0,1682076951.0,0.6,7.5,False,True,False,0.6923353857231213,8.654192321539016,1940.935657810928,Comoros,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/497418 ,0.3714807768390596,0.7504097898052182,0.0893788335251873,0.3714807768390596,1.2112694001694653,0.6195234435049961,0.2301410500632452,74-country LDC+AOSIS coalition,Grant-priority,0.03095673140325497,0.019178420838603768
Central African Republic,CAF,Global South & Climate-Vulnerable Coalition,5330691.0,3752056621.0,0.4,12.3,False,True,False,0.0750371762309989,2.307393169103217,703.8593347466585,Central African Republic,True,False,Yes,Fully costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revis%C3%A9e%20RCA.pdf,0.3189672000662267,1.0645027453746976,0.1995623140184589,0.0,1.2640650593931566,0.8421265483643195,0.2686107472332028,74-country LDC+AOSIS coalition,Grant-priority,0.02658060000551889,0.02238422893610023
Angola,AGO,Global South & Climate-Vulnerable Coalition,37885854.0,158346237030.0,22.3,739.6,False,True,False,0.5886101973575678,19.521798294424087,4179.560978881458,Angola,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Angola%20NDC_September2025_Upload.pdf,0.2071503491189933,346.03214251331616,45.76271279189598,0.0,391.79485530521214,0.8831972595550128,0.182954620657759,74-country LDC+AOSIS coalition,Grant-priority,0.01726252909324944,0.015246218388146583
Gambia,GMB,Global South & Climate-Vulnerable Coalition,2759999.0,4656793663.0,0.8,17.7,False,True,False,0.2898551774837599,6.413045801828189,1687.244692117642,Gambia,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Second%20NDC%20of%20The%20Republic%20of%20The%20Gambia-16-12-2021.pdf,0.1526469317668283,0.1758031674588036,0.0,0.0,0.1758031674588036,1.0,0.1526469317668283,74-country LDC+AOSIS coalition,Grant-priority,0.012720577647235692,0.012720577647235692
Tonga,TON,Global South & Climate-Vulnerable Coalition,104192.0,,0.2,4.9,False,True,False,1.9195331695331692,47.02856265356265,,Tonga,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Tongas%20Third%20Nationally%20Determined%20Contribution.pdf,0.1183146089793314,0.357319622299025,0.0703235426865102,0.0,0.4276431649855352,0.8355555555555556,0.0988584288360636,74-country LDC+AOSIS coalition,Grant-priority,0.009859550748277617,0.008238202403005301
Saint Kitts and Nevis,KNA,Global South & Climate-Vulnerable Coalition,46867.0,,0.3,8.0,False,True,False,6.401092453111998,170.69579874965328,,Saint Kitts and Nevis,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/St.%20Kitts%20and%20Nevis%20Revised%20NDC_Updated.pdf,0.1000730787135107,0.6014814331438905,0.0,0.0,0.6014814331438905,1.0,0.1000730787135107,74-country LDC+AOSIS coalition,Grant-priority,0.008339423226125893,0.008339423226125893
Nepal,NPL,Global South & Climate-Vulnerable Coalition,29651054.0,95965910597.0,18.8,232.1,False,True,False,0.6340415419971243,7.827714994549604,3236.5092518127685,Nepal,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-05/Nepal%20NDC3.pdf,0.0541681342315011,65.76093223064656,23.915725428642844,0.0541681342315011,89.7308257935209,0.7328689070795879,0.0396981413327806,74-country LDC+AOSIS coalition,Grant-priority,0.004514011185958425,0.0033081784443983833
Saint Vincent and the Grenadines,VCT,Global South & Climate-Vulnerable Coalition,100630.0,,0.3,8.0,True,True,True,2.981218324555301,79.4991553214747,,Saint Vincent and the Grenadines,True,False,Yes,Partially costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-10/Revised%20NDC%202.0%20Final.pdf,0.0457189420020899,0.1809042898214972,0.0,0.0,0.1809042898214972,1.0,0.0457189420020899,74-country LDC+AOSIS coalition,Loan-eligible,0.003809911833507492,0.003809911833507492
Liberia,LBR,Global South & Climate-Vulnerable Coalition,5612813.0,4231561135.0,0.9,52.5,False,True,False,0.1603474051246674,9.353598632272266,753.9109418040473,Liberia,True,False,Yes,Partially costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Liberias_2035_NDC_3.0_Final.pdf ,0.0180560447438337,0.152431030363733,0.0,0.0750751334085717,0.2275061637723047,0.6700083542188805,0.0120977008225184,74-country LDC+AOSIS coalition,Grant-priority,0.001504670395319475,0.0010081417352098667
Solomon Islands,SLB,Global South & Climate-Vulnerable Coalition,819206.0,,0.3,11.6,False,True,False,0.36620825531063,14.160052538677697,,Solomon Islands,True,False,Yes,Partially costed,Adaptation only,2025.0,https://unfccc.int/sites/default/files/2025-08/Solomon%20Islands%20NDC3.0_0.pdf,0.0111187222896239,0.0,0.0,2.1018186399966856,2.1018186399966856,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.0009265601908019917,0.0
Nauru,NRU,Global South & Climate-Vulnerable Coalition,11968.0,,0.1,5.1,False,True,False,8.355614973262032,426.1363636363636,,Nauru,True,False,Yes,Partially costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Nauru%20Updated%20NDC%20pdf.pdf,0.0004171843451304,0.0242793417463187,0.0009744796590028,0.0,0.0252538214053216,0.9614125861047906,0.0004010862801343,74-country LDC+AOSIS coalition,Grant-priority,3.47653620942e-05,3.342385667785833e-05
Myanmar,MMR,Global South & Climate-Vulnerable Coalition,54500086.0,291025085135.0,31.6,727.9,False,True,False,0.5798155988230917,13.355942227320522,5339.901392724408,Myanmar,True,False,Yes,Partially costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Myanmar%20Updated%20%20NDC%20July%202021.pdf,0.000228270679411,1.753117862063328,2.4850018444846294,0.001874109433785,4.239993815981742,0.413471796929356,9.438348800235312e-05,74-country LDC+AOSIS coalition,Grant-priority,1.9022556617583332e-05,7.86529066686276e-06
Antigua and Barbuda,ATG,Global South & Climate-Vulnerable Coalition,93782.0,,0.7,26.9,False,True,False,7.464118914077328,286.8354268409716,,Antigua and Barbuda,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf,,0.0,0.0,0.9660357906108358,0.9660357906108358,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Bahamas,BHS,Global South & Climate-Vulnerable Coalition,401282.0,,3.1,180.6,False,True,False,7.725240603864614,450.0575655025643,,Bahamas,True,False,Yes,Fully costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/NDC/2022-11/Bahamas%20Updated%20Nationally%20Determined%20Contributio,,0.0,0.0,2.6502369373805026,2.6502369373805026,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Bhutan,BTN,Global South & Climate-Vulnerable Coalition,791530.0,,1.7,29.8,False,True,False,2.147739188659937,37.64860460121537,,Bhutan,True,False,Yes,Partially costed,Mitigation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Second%20NDC%20Bhutan.pdf,,0.0,0.0,2.7191839473521053,2.7191839473521053,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Cuba,CUB,Global South & Climate-Vulnerable Coalition,10979781.0,84154971449.0,24.4,1814.1,False,True,False,2.2222665461178144,165.2218746439478,7664.540071336578,Cuba,True,False,Yes,Partially costed,Mitigation only,2025.0,https://unfccc.int/sites/default/files/2025-02/REPUBLICA%20DE%20CUBA%20CND3.0.pdf,,0.4152890291081753,0.5891972495356264,1.8510149686136843,2.8555012472574863,0.1454347216647277,,74-country LDC+AOSIS coalition,Grant-priority,,
East Timor,TLS,Global South & Climate-Vulnerable Coalition,1400638.0,,0.7,12.1,False,True,False,0.4997722466475991,8.638920263479928,,Timor-Leste,True,True,No,No needs quantified,,2022.0,https://unfccc.int/sites/default/files/NDC/2022-11/Timor_Leste%20Updated%20NDC%202022_2030.pdf,,0.0,0.0,0.0,0.0,,,74-country LDC+AOSIS coalition,Grant-priority,,
Fiji,FJI,Global South & Climate-Vulnerable Coalition,928800.0,,1.4,54.1,False,True,False,1.5073212747631353,58.24720068906115,,Fiji,True,False,Yes,Fully costed,Mitigation only,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Republic%20of%20Fiji%27s%20Updated%20NDC%2020201.pdf,,1.845963079308094,0.0,0.0,1.845963079308094,1.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Grenada,GRD,Global South & Climate-Vulnerable Coalition,117218.0,,0.4,9.6,False,True,True,3.4124451875991744,81.89868450238018,,Grenada,True,False,Yes,Fully costed,Mitigation only,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/GrenadaSecondNDC2020%20-%2001-12-20.pdf,,0.0,0.0,0.7639595218132154,0.7639595218132154,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Guinea-Bissau,GNB,Global South & Climate-Vulnerable Coalition,2201360.0,3259313986.0,0.3,8.3,False,True,False,0.1362793909219755,3.770396482174656,1480.5910827851874,Guinea-Bissau,True,False,Yes,Fully costed,Mitigation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC-Guinea%20Bissau-12102021.Final.pdf,,0.4014415396538361,0.0951724149268452,0.0,0.4966139545806814,0.80835734870317,,74-country LDC+AOSIS coalition,Grant-priority,,
Jamaica,JAM,Global South & Climate-Vulnerable Coalition,2839182.0,20019224153.0,8.4,485.2,False,True,False,2.9585986386219694,170.89429279278326,7051.053491111172,Jamaica,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-09/Jamaica%20ICTU%20Final%20Report%20Sep19.pdf,,0.0,0.0,0.0,0.0,,,74-country LDC+AOSIS coalition,Grant-priority,,
Kiribati,KIR,Global South & Climate-Vulnerable Coalition,134521.0,,0.1,2.3,False,True,False,0.7433783572825061,17.09770221749764,,Kiribati,True,False,Yes,Partially costed,Mitigation only,2023.0,https://unfccc.int/sites/default/files/NDC/2023-03/221213%20Kiribati%20NDC%20Web%20Quality.pdf,,0.0,0.0,0.1339443636363636,0.1339443636363636,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Laos,LAO,Global South & Climate-Vulnerable Coalition,7769823.0,54953902901.0,24.4,243.0,False,True,False,3.140354677320192,31.274843712656004,7072.735492301434,Lao People's Democratic Republic,True,True,Yes,Fully costed,Mitigation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%202020%20of%20Lao%20PDR%20%28English%29%2C%2009%20April%202021%20%281%29.pdf,,3.5676917160679915,0.0,0.0,3.5676917160679915,1.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Maldives,MDV,Global South & Climate-Vulnerable Coalition,527801.0,,2.3,33.7,False,True,True,4.357702997910197,63.84982218677115,,Maldives,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-02/Maldives%E2%80%99%20Third%20Nationally%20Determined%20Contribution.pdf,,0.0,0.0,0.0,0.0,,,74-country LDC+AOSIS coalition,Grant-priority,,
Marshall Islands,MHL,Global South & Climate-Vulnerable Coalition,37572.0,,0.2,4.0,False,True,False,5.323112956456936,106.46225912913872,,Marshall Islands,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-02/Republic%20of%20the%20Marshall%20Islands%20NDC%203.0.pdf,,0.0,0.0,0.0,0.0,,,74-country LDC+AOSIS coalition,Grant-priority,,
Mauritius,MUS,Global South & Climate-Vulnerable Coalition,1271171.0,26988574640.0,4.7,133.2,False,True,True,3.6973782441544056,104.78527279178016,21231.2699392922,Mauritius,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/NDC%203.0%20%20Mauritius.pdf,,0.747862366926704,0.3116093195527933,0.0,1.0594716864794975,0.7058823529411764,,74-country LDC+AOSIS coalition,Grant-priority,,
Mozambique,MOZ,Global South & Climate-Vulnerable Coalition,34631767.0,31441725629.0,8.6,211.2,False,True,False,0.2483269190393894,6.098447128037099,907.8868435734164,Mozambique,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_EN_Final.pdf,,0.0,0.0,3.4121406384470605,3.4121406384470605,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Palau,PLW,Global South & Climate-Vulnerable Coalition,17719.0,,0.2,11.4,False,True,False,11.287318697443425,643.3771657542751,,Palau,True,False,Yes,Partially costed,Mitigation only,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/Palau_INDC.Final%20Copy.pdf,,0.0,0.0,0.0023275168363144,0.0023275168363144,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Saint Lucia,LCA,Global South & Climate-Vulnerable Coalition,179751.0,1749086152.0,0.5,16.5,True,True,True,2.781625693320204,91.79364787956672,9730.605960467536,Saint Lucia,True,False,Yes,Fully costed,Mitigation only,2025.0,https://unfccc.int/sites/default/files/2025-02/Saint%20Lucias%20Third%20Nationally%20Determined%20Contribution.pdf,,0.483711935505861,0.0,0.0,0.483711935505861,1.0,,74-country LDC+AOSIS coalition,Loan-eligible,,
Samoa,WSM,Global South & Climate-Vulnerable Coalition,218031.0,,0.2,7.8,False,True,False,0.9173007508106644,35.77472928161592,,Samoa,True,False,No,No needs quantified,,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Samoa%27s%20Second%20NDC%20for%20UNFCCC%20Submission.pdf,,0.0,0.0,0.0,0.0,,,74-country LDC+AOSIS coalition,Grant-priority,,
Seychelles,SYC,Global South & Climate-Vulnerable Coalition,130436.0,3053368129.0,0.7,16.1,False,True,False,5.36661657824527,123.4321812996412,23408.93717225306,Seychelles,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-09/ICTU%20Update%202025%20for%20Seychelles%20new%20NDC%203.0.pdf,,0.0,0.0,0.0,0.0,,,74-country LDC+AOSIS coalition,Grant-priority,,
Sierra Leone,SLE,Global South & Climate-Vulnerable Coalition,8642029.0,11681270534.0,1.4,42.6,False,True,False,0.1619989935233959,4.929397945783334,1351.6814782732156,Sierra Leone,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/210804%202125%20SL%20NDC%20%281%29.pdf,,1.9778688335172965,0.0,0.0,1.9778688335172965,1.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Suriname,SUR,Global South & Climate-Vulnerable Coalition,634438.0,,3.0,128.8,False,True,False,4.728594441064375,203.01432133636385,,Suriname,True,False,Yes,Partially costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Suriname%20Second%20NDC.pdf,,0.0,0.0,0.4693918112468407,0.4693918112468407,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Tanzania,TZA,Global South & Climate-Vulnerable Coalition,68560162.0,198220407805.0,20.0,344.9,False,True,False,0.291714596590364,5.030618218200826,2891.18931494065,United Republic of Tanzania,True,True,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/TANZANIA_NDC_SUBMISSION_30%20JULY%202021.pdf,,13.762195963786665,0.0,0.0,13.762195963786665,1.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Trinidad and Tobago,TTO,Global South & Climate-Vulnerable Coalition,1507778.0,37513383973.0,34.6,1711.0,False,True,False,22.94767532090268,1134.7824414469503,24879.912011582608,Trinidad and Tobago,True,False,Yes,Fully costed,Mitigation only,2018.0,https://unfccc.int/sites/default/files/NDC/2022-06/Trinidad%20and%20Tobago%20Final%20INDC.pdf,,0.0,0.0,1.3067760571573688,1.3067760571573688,0.0,,74-country LDC+AOSIS coalition,Grant-priority,,
Tuvalu,TUV,Global South & Climate-Vulnerable Coalition,9669.0,,0.0,0.3,False,True,False,0.0,31.026993484331367,,Tuvalu,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-09/Tuvalu%20NDC%203.0%20-%20Secretariat%20Submission%20FINAL.pdf ,,0.0,0.0,0.0,0.0,,,74-country LDC+AOSIS coalition,Grant-priority,,
Yemen,YEM,Global South & Climate-Vulnerable Coalition,40583173.0,60852995288.0,10.1,708.0,False,True,False,0.2488716197720666,17.44565413847754,1499.4637133966828,Yemen,False,False,,,,,,,,,,,,,74-country LDC+AOSIS coalition,Grant-priority,,
Zambia,ZMB,Global South & Climate-Vulnerable Coalition,21314962.0,68469600029.0,12.0,300.8,False,True,False,0.562984817894585,14.112152768557598,3212.27877530347,Zambia,True,False,Yes,Fully costed,Mitigation only,2025.0,https://unfccc.int/sites/default/files/2025-03/Provisional%20NDC%20Submission_Zambia_Revised%20and%20Updated_NDC_100325.pdf #,,25.045372349169817,10.733731006787064,0.0,35.77910335595688,0.7000000000000001,,74-country LDC+AOSIS coalition,Grant-priority,,
