country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd
Cape Verde,CPV,Global South & Climate-Vulnerable Coalition,524878,4251154554,0.6,16.9,False,True,False,1.1431227828181025,32.197958382709885,8099.319373263882
Central African Republic,CAF,Global South & Climate-Vulnerable Coalition,5330691,3752056621,0.4,12.3,False,True,False,0.07503717623099894,2.3073931691032175,703.8593347466585
Chad,TCD,Global South & Climate-Vulnerable Coalition,20299131,24118013870,2.8,51.3,False,True,False,0.1379369392709471,2.5272017802141384,1188.1303623293036
Comoros,COM,Global South & Climate-Vulnerable Coalition,866632,1682076951,0.6,7.5,False,True,False,0.6923353857231213,8.654192321539016,1940.9356578109278
Cuba,CUB,Global South & Climate-Vulnerable Coalition,10979781,84154971449,24.4,1814.1,False,True,False,2.2222665461178144,165.2218746439478,7664.540071336578
Democratic Republic of Congo,COD,Global South & Climate-Vulnerable Coalition,109276264,91314988450,5.9,238.7,False,True,False,0.05399159693087604,2.18437189616951,835.6342457864408
Djibouti,DJI,Global South & Climate-Vulnerable Coalition,1168726,3395681646,0.6,21.1,False,True,False,0.5133795260822468,18.05384666722568,2905.455723582773
Dominica,DMA,Global South & Climate-Vulnerable Coalition,66226,675098029,0.2,5.5,False,True,True,3.019961948479449,83.04895358318485,10193.851795367378
Dominican Republic,DOM,Global South & Climate-Vulnerable Coalition,11427558,191182362267,33.1,869.2,False,True,True,2.896506847744724,76.06174477521795,16729.940225812024
East Timor,TLS,Global South & Climate-Vulnerable Coalition,1400638,,0.7,12.1,False,True,False,0.49977224664759917,8.638920263479928,
Eritrea,ERI,Global South & Climate-Vulnerable Coalition,3535610,,0.7,19.1,False,True,False,0.19798563755617843,5.402179539032868,
